Date, Open, High, Low, Close
05/08/23, 36.9500, 37.0500, 36.8500, 36.9500
05/05/23, 36.9500, 37.1500, 36.8500, 36.9500
05/04/23, 36.9500, 37.0500, 36.8500, 36.9500
05/03/23, 36.8500, 37.0500, 36.6500, 36.9500
05/02/23, 36.9500, 37.0500, 36.7500, 36.8500
05/01/23, 36.9500, 37.0500, 36.8500, 36.9500
04/28/23, 36.9500, 37.0500, 36.8500, 36.9500
04/27/23, 36.9500, 37.0500, 36.7500, 36.9500
04/26/23, 36.8500, 37.0500, 36.7500, 36.9500
04/25/23, 37.0500, 37.0500, 36.7500, 36.8500
04/24/23, 36.9500, 37.0500, 36.8500, 36.9500
04/21/23, 36.9500, 37.0500, 36.8500, 36.9500
04/20/23, 36.9500, 37.0500, 36.7500, 36.9500
04/19/23, 36.9500, 36.9500, 36.7500, 36.9500
04/18/23, 36.8500, 36.9500, 36.7500, 36.9500
04/17/23, 36.9500, 37.2500, 36.8500, 36.8500
04/14/23, 36.8500, 37.0500, 36.6500, 36.9500
04/13/23, 36.9500, 37.0500, 36.6500, 36.8500
04/12/23, 36.9500, 37.0500, 36.8500, 36.9500
04/11/23, 36.9500, 37.0500, 36.7500, 36.9500
04/10/23, 36.8500, 37.0500, 36.7500, 36.9500
04/07/23, 36.8500, 36.9500, 36.6500, 36.8500
04/06/23, 36.9500, 37.0500, 36.7500, 36.8500
04/05/23, 36.8500, 37.0500, 36.7500, 36.9500
04/04/23, 36.8500, 36.9500, 36.7500, 36.8500
04/03/23, 36.8500, 36.9500, 36.7500, 36.8500
03/31/23, 36.8500, 36.9500, 36.7500, 36.8500
03/30/23, 36.9500, 36.9500, 36.8500, 36.8500
03/29/23, 36.9500, 37.0500, 36.8500, 36.9500
03/28/23, 36.9500, 37.0500, 36.7500, 36.9500
03/27/23, 36.9500, 36.9500, 36.7500, 36.9500
03/24/23, 36.8500, 37.0500, 36.7500, 36.9500
03/23/23, 36.9500, 36.9500, 36.7500, 36.8500
03/22/23, 36.9500, 37.0500, 36.7500, 36.9500
03/21/23, 36.9500, 37.0500, 36.7500, 36.9500
03/20/23, 36.9500, 37.0500, 36.7500, 36.9500
