date,total_cases_poland,total_cases_ukraine,new_cases_poland,new_cases_ukraine
2020-03-03,0.0,1.0,0.0,1.0
2020-03-04,1.0,1.0,1.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,5.0,1.0,4.0,0.0
2020-03-07,5.0,1.0,0.0,0.0
2020-03-08,11.0,1.0,6.0,0.0
2020-03-09,16.0,1.0,5.0,0.0
2020-03-10,22.0,1.0,6.0,0.0
2020-03-11,31.0,1.0,9.0,0.0
2020-03-12,49.0,1.0,18.0,0.0
2020-03-13,68.0,3.0,19.0,2.0
2020-03-14,103.0,3.0,35.0,0.0
2020-03-15,119.0,3.0,16.0,0.0
2020-03-16,177.0,7.0,58.0,4.0
2020-03-17,238.0,14.0,61.0,7.0
2020-03-18,251.0,14.0,13.0,0.0
2020-03-19,355.0,16.0,104.0,2.0
2020-03-20,425.0,29.0,70.0,13.0
2020-03-21,536.0,47.0,111.0,18.0
2020-03-22,634.0,73.0,98.0,26.0
2020-03-23,749.0,73.0,115.0,0.0
2020-03-24,901.0,97.0,152.0,24.0
2020-03-25,1051.0,145.0,150.0,48.0
2020-03-26,1221.0,196.0,170.0,51.0
2020-03-27,1389.0,310.0,168.0,114.0
2020-03-28,1638.0,356.0,249.0,46.0
2020-03-29,1862.0,475.0,224.0,119.0
2020-03-30,2055.0,548.0,193.0,73.0
2020-03-31,2311.0,645.0,256.0,97.0
2020-04-01,2554.0,794.0,243.0,149.0
2020-04-02,2946.0,897.0,392.0,103.0
2020-04-03,3383.0,1072.0,437.0,175.0
2020-04-04,3627.0,1225.0,244.0,153.0
2020-04-05,4102.0,1308.0,475.0,83.0
2020-04-06,4413.0,1319.0,311.0,11.0
2020-04-07,4848.0,1462.0,435.0,143.0
2020-04-08,5205.0,1668.0,357.0,206.0
2020-04-09,5575.0,1892.0,370.0,224.0
2020-04-10,5955.0,2203.0,380.0,311.0
2020-04-11,6356.0,2511.0,401.0,308.0
2020-04-12,6674.0,2777.0,318.0,266.0
2020-04-13,6934.0,3102.0,260.0,325.0
2020-04-14,7202.0,3372.0,268.0,270.0
2020-04-15,7582.0,3764.0,380.0,392.0
2020-04-16,7918.0,4161.0,336.0,397.0
2020-04-17,8379.0,4662.0,461.0,501.0
2020-04-18,8742.0,5106.0,363.0,444.0
2020-04-19,9287.0,5449.0,545.0,343.0
2020-04-20,9593.0,5710.0,306.0,261.0
2020-04-21,9856.0,6125.0,263.0,415.0
2020-04-22,10169.0,6592.0,313.0,467.0
2020-04-23,10511.0,7170.0,342.0,578.0
2020-04-24,10892.0,7647.0,381.0,477.0
2020-04-25,11273.0,8125.0,381.0,478.0
2020-04-26,11617.0,8617.0,344.0,492.0
2020-04-27,11902.0,9009.0,285.0,392.0
2020-04-28,12218.0,9410.0,316.0,401.0
2020-04-29,12640.0,9866.0,422.0,456.0
2020-04-30,12877.0,10406.0,237.0,540.0
2020-05-01,13105.0,10861.0,228.0,455.0
2020-05-02,13375.0,11411.0,270.0,550.0
2020-05-03,13693.0,11913.0,318.0,502.0
2020-05-04,14006.0,12331.0,313.0,418.0
2020-05-05,14431.0,12697.0,425.0,366.0
2020-05-06,14740.0,13184.0,309.0,487.0
2020-05-07,15047.0,13691.0,307.0,507.0
2020-05-08,15366.0,14195.0,319.0,504.0
2020-05-09,15651.0,14710.0,285.0,515.0
2020-05-10,15996.0,15232.0,345.0,522.0
2020-05-11,16326.0,15648.0,330.0,416.0
2020-05-12,16921.0,16023.0,595.0,375.0
2020-05-13,17204.0,16425.0,283.0,402.0
2020-05-14,17615.0,16847.0,411.0,422.0
2020-05-15,18016.0,17330.0,401.0,483.0
2020-05-16,18257.0,17858.0,241.0,528.0
2020-05-17,18529.0,18291.0,272.0,433.0
2020-05-18,18885.0,18616.0,356.0,325.0
2020-05-19,19268.0,18876.0,383.0,260.0
2020-05-20,19739.0,19230.0,471.0,354.0
2020-05-21,20143.0,19706.0,404.0,476.0
2020-05-22,20619.0,20148.0,476.0,442.0
2020-05-23,20931.0,20580.0,312.0,432.0
2020-05-24,21326.0,20986.0,395.0,406.0
2020-05-25,21631.0,21245.0,305.0,259.0
2020-05-26,22074.0,21584.0,443.0,339.0
2020-05-27,22473.0,21905.0,399.0,321.0
2020-05-28,22825.0,22382.0,352.0,477.0
2020-05-29,23155.0,22811.0,330.0,429.0
2020-05-30,23571.0,23204.0,416.0,393.0
2020-05-31,23786.0,23672.0,215.0,468.0
2020-06-01,24165.0,24562.0,379.0,890.0
2020-06-02,24395.0,24895.0,230.0,333.0
2020-06-03,24687.0,25385.0,292.0,490.0
2020-06-04,25048.0,25981.0,361.0,596.0
2020-06-05,25410.0,26542.0,362.0,561.0
2020-06-06,25986.0,27101.0,576.0,559.0
2020-06-07,26561.0,27599.0,575.0,498.0
2020-06-08,27160.0,28077.0,599.0,478.0
2020-06-09,27560.0,28479.0,400.0,402.0
2020-06-10,27842.0,29015.0,282.0,536.0
2020-06-11,28201.0,29706.0,359.0,691.0
2020-06-12,28577.0,30415.0,376.0,709.0
2020-06-13,29017.0,31177.0,440.0,762.0
2020-06-14,29392.0,31851.0,375.0,674.0
2020-06-15,29788.0,32536.0,396.0,685.0
2020-06-16,30195.0,33209.0,407.0,673.0
2020-06-17,30701.0,33986.0,506.0,777.0
2020-06-18,31015.0,34833.0,314.0,847.0
2020-06-19,31316.0,35755.0,301.0,922.0
2020-06-20,31620.0,36615.0,304.0,860.0
2020-06-21,31931.0,37361.0,311.0,746.0
2020-06-22,32227.0,38056.0,296.0,695.0
2020-06-23,32527.0,38901.0,300.0,845.0
2020-06-24,32821.0,39852.0,294.0,951.0
2020-06-25,33119.0,40854.0,298.0,1002.0
2020-06-26,33395.0,41975.0,276.0,1121.0
2020-06-27,33714.0,42932.0,319.0,957.0
2020-06-28,33907.0,43856.0,193.0,924.0
2020-06-29,34154.0,44538.0,247.0,682.0
2020-06-30,34393.0,45254.0,239.0,716.0
2020-07-01,34775.0,45924.0,382.0,670.0
2020-07-02,35146.0,46821.0,371.0,897.0
2020-07-03,35405.0,47705.0,259.0,884.0
2020-07-04,35719.0,48628.0,314.0,923.0
2020-07-05,35950.0,49468.0,231.0,840.0
2020-07-06,36155.0,50053.0,205.0,585.0
